2018-03-15_12-12-31-3846 Json file loaded: ../../../../config/setting.json
2018-03-15_12-12-31-4388 Json file loaded: ../../../../database/costume/data/data.json
2018-03-15_12-12-31-4388 Json file loaded: ../../../../database/costume/data/data_invalid.json
2018-03-15_12-12-31-5325 Json file loaded: ../../../../database/attach/data/data.json
2018-03-15_12-12-31-5330 Json file loaded: ../../../../database/attach/data/data_invalid.json
2018-03-15_12-12-31-6077 Json file loaded: ../../../../database/weapon/data/data.json
2018-03-15_12-12-31-6077 Json file loaded: ../../../../database/weapon/data/data_invalid.json
2018-03-15_12-12-31-6102 Json file loaded: ../../config/i18n-en_US.json
2018-03-15_12-12-31-6739 [App] BladeSoulTool App start ...
2018-03-15_12-12-31-6969 Json file loaded: ../../../../database/costume/data/origin.json
2018-03-15_12-12-31-7431 Start to load data table ...
2018-03-15_12-12-31-7646 [BstManager] GetCostumeDataByRace: 0
2018-03-15_12-12-31-8363 Data table loaded, start to load icons ...
2018-03-15_12-12-31-8383 Icon download succeeded: 
2018-03-15_12-12-31-8388 Icon download succeeded: 
2018-03-15_12-12-31-8388 Icon download succeeded: 
2018-03-15_12-12-31-8388 Icon download succeeded: 
2018-03-15_12-12-31-8388 Icon download succeeded: 
2018-03-15_12-12-31-8388 Icon download succeeded: 
2018-03-15_12-12-31-8393 Icon download succeeded: 
2018-03-15_12-12-31-8393 Icon download succeeded: 
2018-03-15_12-12-31-8393 Icon download succeeded: 
2018-03-15_12-12-31-8393 Icon download succeeded: 
2018-03-15_12-12-31-8393 Icon download succeeded: 
2018-03-15_12-12-31-8398 Icon download succeeded: 
2018-03-15_12-12-31-8398 Icon download succeeded: 
2018-03-15_12-12-31-8398 Icon download succeeded: 
2018-03-15_12-12-31-8398 Icon download succeeded: 
2018-03-15_12-12-31-8403 Icon download succeeded: 
2018-03-15_12-12-31-8403 Icon download succeeded: 
2018-03-15_12-12-31-8403 Icon download succeeded: 
2018-03-15_12-12-31-8403 Icon download succeeded: 
2018-03-15_12-12-31-8408 Icon download succeeded: 
2018-03-15_12-12-31-8408 Icon download succeeded: 
2018-03-15_12-12-31-8408 Icon download succeeded: 
2018-03-15_12-12-31-8408 Icon download succeeded: 
2018-03-15_12-12-31-8408 Icon download succeeded: 
2018-03-15_12-12-31-8413 Icon download succeeded: 
2018-03-15_12-12-31-8413 Icon download succeeded: 
2018-03-15_12-12-31-8413 Icon download succeeded: 
2018-03-15_12-12-31-8413 Icon download succeeded: 
2018-03-15_12-12-31-8418 Icon download succeeded: 
2018-03-15_12-12-31-8418 Icon download succeeded: 
2018-03-15_12-12-31-8418 Icon download succeeded: 
2018-03-15_12-12-31-8418 Icon download succeeded: 
2018-03-15_12-12-31-8418 Icon download succeeded: 
2018-03-15_12-12-31-8423 Icon download succeeded: 
2018-03-15_12-12-31-8423 Icon download succeeded: 
2018-03-15_12-12-31-8423 Icon download succeeded: 
2018-03-15_12-12-31-8423 Icon download succeeded: 
2018-03-15_12-12-31-8423 Icon download succeeded: 
2018-03-15_12-12-31-8428 Icon download succeeded: 
2018-03-15_12-12-31-8428 Icon download succeeded: 
2018-03-15_12-12-31-8428 Icon download succeeded: 
2018-03-15_12-12-31-8428 Icon download succeeded: 
2018-03-15_12-12-31-8433 Icon download succeeded: 
2018-03-15_12-12-31-8433 Icon download succeeded: 
2018-03-15_12-12-31-8433 Icon download succeeded: 
2018-03-15_12-12-31-8433 Icon download succeeded: 
2018-03-15_12-12-31-8433 Icon download succeeded: 
2018-03-15_12-12-31-8438 Icon download succeeded: 
2018-03-15_12-12-31-8438 Icon download succeeded: 
2018-03-15_12-12-31-8438 Icon download succeeded: 
2018-03-15_12-12-31-8438 Icon download succeeded: 
2018-03-15_12-12-31-8438 Icon download succeeded: 
2018-03-15_12-12-31-8443 Icon download succeeded: 
2018-03-15_12-12-31-8443 Icon download succeeded: 
2018-03-15_12-12-31-8443 Icon download succeeded: 
2018-03-15_12-12-31-8443 Icon download succeeded: 
2018-03-15_12-12-31-8443 Icon download succeeded: 
2018-03-15_12-12-31-8448 Icon download succeeded: 
2018-03-15_12-12-31-8448 Icon download succeeded: 
2018-03-15_12-12-31-8448 Icon download succeeded: 
2018-03-15_12-12-31-8448 Icon download succeeded: 
2018-03-15_12-12-31-8448 Icon download succeeded: 
2018-03-15_12-12-31-8453 Icon download succeeded: 
2018-03-15_12-12-31-8453 Icon download succeeded: 
2018-03-15_12-12-31-8453 Icon download succeeded: 
2018-03-15_12-12-31-8453 Icon download succeeded: 
2018-03-15_12-12-31-8659 Icon download succeeded: 
2018-03-15_12-12-31-8664 Icon download succeeded: 
2018-03-15_12-12-31-8664 Icon download succeeded: 
2018-03-15_12-12-31-8664 Icon download succeeded: 
2018-03-15_12-12-31-8669 Icon download succeeded: 
2018-03-15_12-12-31-8669 Icon download succeeded: 
2018-03-15_12-12-31-8669 Icon download succeeded: 
2018-03-15_12-12-31-8669 Icon download succeeded: 
2018-03-15_12-12-31-8674 Icon download succeeded: 
2018-03-15_12-12-31-8674 Icon download succeeded: 
2018-03-15_12-12-31-8674 Icon download succeeded: 
2018-03-15_12-12-31-8674 Icon download succeeded: 
2018-03-15_12-12-31-8674 Icon download succeeded: 
2018-03-15_12-12-31-8679 Icon download succeeded: 
2018-03-15_12-12-31-8679 Icon download succeeded: 
2018-03-15_12-12-31-8679 Icon download succeeded: 
2018-03-15_12-12-31-8679 Icon download succeeded: 
2018-03-15_12-12-31-8679 Icon download succeeded: 
2018-03-15_12-12-31-8684 Icon download succeeded: 
2018-03-15_12-12-31-8684 Icon download succeeded: 
2018-03-15_12-12-31-8684 Icon download succeeded: 
2018-03-15_12-12-31-8684 Icon download succeeded: 
2018-03-15_12-12-31-8684 Icon download succeeded: 
2018-03-15_12-12-31-8689 Icon download succeeded: 
2018-03-15_12-12-31-8689 Icon download succeeded: 
2018-03-15_12-12-31-8689 Icon download succeeded: 
2018-03-15_12-12-31-8689 Icon download succeeded: 
2018-03-15_12-12-31-8689 Icon download succeeded: 
2018-03-15_12-12-31-8694 Icon download succeeded: 
2018-03-15_12-12-31-8694 Icon download succeeded: 
2018-03-15_12-12-31-8694 Icon download succeeded: 
2018-03-15_12-12-31-8694 Icon download succeeded: 
2018-03-15_12-12-31-8699 Icon download succeeded: 
2018-03-15_12-12-31-8699 Icon download succeeded: 
2018-03-15_12-12-31-8699 Icon download succeeded: 
2018-03-15_12-12-31-8699 Icon download succeeded: 
2018-03-15_12-12-31-8699 Icon download succeeded: 
2018-03-15_12-12-31-8704 Icon download succeeded: 
