2018-03-15_11-31-38-7825 Json file loaded: ../../../../config/setting.json
2018-03-15_11-31-38-8421 Json file loaded: ../../../../database/costume/data/data.json
2018-03-15_11-31-38-8466 Json file loaded: ../../../../database/costume/data/data_invalid.json
2018-03-15_11-31-38-9459 Json file loaded: ../../../../database/attach/data/data.json
2018-03-15_11-31-38-9489 Json file loaded: ../../../../database/attach/data/data_invalid.json
2018-03-15_11-31-39-0351 Json file loaded: ../../../../database/weapon/data/data.json
2018-03-15_11-31-39-0397 Json file loaded: ../../../../database/weapon/data/data_invalid.json
2018-03-15_11-31-39-0417 Json file loaded: ../../config/i18n-en_US.json
2018-03-15_11-31-39-1038 [App] BladeSoulTool App start ...
2018-03-15_11-31-39-1269 Json file loaded: ../../../../database/costume/data/origin.json
2018-03-15_11-31-39-1735 Start to load data table ...
2018-03-15_11-31-39-1961 [BstManager] GetCostumeDataByRace: 0
2018-03-15_11-31-39-2748 Data table loaded, start to load icons ...
2018-03-15_11-31-39-2778 Icon download succeeded: 
2018-03-15_11-31-39-2778 Icon download succeeded: 
2018-03-15_11-31-39-2778 Icon download succeeded: 
2018-03-15_11-31-39-2778 Icon download succeeded: 
2018-03-15_11-31-39-2778 Icon download succeeded: 
2018-03-15_11-31-39-2778 Icon download succeeded: 
2018-03-15_11-31-39-2778 Icon download succeeded: 
2018-03-15_11-31-39-2778 Icon download succeeded: 
2018-03-15_11-31-39-2788 Icon download succeeded: 
2018-03-15_11-31-39-2788 Icon download succeeded: 
2018-03-15_11-31-39-2788 Icon download succeeded: 
2018-03-15_11-31-39-2788 Icon download succeeded: 
2018-03-15_11-31-39-2788 Icon download succeeded: 
2018-03-15_11-31-39-2788 Icon download succeeded: 
2018-03-15_11-31-39-2788 Icon download succeeded: 
2018-03-15_11-31-39-2788 Icon download succeeded: 
2018-03-15_11-31-39-2788 Icon download succeeded: 
2018-03-15_11-31-39-2788 Icon download succeeded: 
2018-03-15_11-31-39-2798 Icon download succeeded: 
2018-03-15_11-31-39-2798 Icon download succeeded: 
2018-03-15_11-31-39-2798 Icon download succeeded: 
2018-03-15_11-31-39-2798 Icon download succeeded: 
2018-03-15_11-31-39-2798 Icon download succeeded: 
2018-03-15_11-31-39-2798 Icon download succeeded: 
2018-03-15_11-31-39-2798 Icon download succeeded: 
2018-03-15_11-31-39-2798 Icon download succeeded: 
2018-03-15_11-31-39-2808 Icon download succeeded: 
2018-03-15_11-31-39-2808 Icon download succeeded: 
2018-03-15_11-31-39-2808 Icon download succeeded: 
2018-03-15_11-31-39-2808 Icon download succeeded: 
2018-03-15_11-31-39-2808 Icon download succeeded: 
2018-03-15_11-31-39-2808 Icon download succeeded: 
2018-03-15_11-31-39-2808 Icon download succeeded: 
2018-03-15_11-31-39-2808 Icon download succeeded: 
2018-03-15_11-31-39-2818 Icon download succeeded: 
2018-03-15_11-31-39-2818 Icon download succeeded: 
2018-03-15_11-31-39-2818 Icon download succeeded: 
2018-03-15_11-31-39-2818 Icon download succeeded: 
2018-03-15_11-31-39-2818 Icon download succeeded: 
2018-03-15_11-31-39-2818 Icon download succeeded: 
2018-03-15_11-31-39-2818 Icon download succeeded: 
2018-03-15_11-31-39-2818 Icon download succeeded: 
2018-03-15_11-31-39-2828 Icon download succeeded: 
2018-03-15_11-31-39-2828 Icon download succeeded: 
2018-03-15_11-31-39-2828 Icon download succeeded: 
2018-03-15_11-31-39-2828 Icon download succeeded: 
2018-03-15_11-31-39-2828 Icon download succeeded: 
2018-03-15_11-31-39-2828 Icon download succeeded: 
2018-03-15_11-31-39-2828 Icon download succeeded: 
2018-03-15_11-31-39-2828 Icon download succeeded: 
2018-03-15_11-31-39-2838 Icon download succeeded: 
