2018-03-15_13-01-16-5793 Json file loaded: ../../../../config/setting.json
2018-03-15_13-01-16-6385 Json file loaded: ../../../../database/costume/data/data.json
2018-03-15_13-01-16-6385 Json file loaded: ../../../../database/costume/data/data_invalid.json
2018-03-15_13-01-16-7377 Json file loaded: ../../../../database/attach/data/data.json
2018-03-15_13-01-16-7377 Json file loaded: ../../../../database/attach/data/data_invalid.json
2018-03-15_13-01-16-8209 Json file loaded: ../../../../database/weapon/data/data.json
2018-03-15_13-01-16-8209 Json file loaded: ../../../../database/weapon/data/data_invalid.json
2018-03-15_13-01-16-8239 Json file loaded: ../../config/i18n-en_US.json
2018-03-15_13-01-16-8931 [App] BladeSoulTool App start ...
2018-03-15_13-01-16-9182 Json file loaded: ../../../../database/costume/data/origin.json
2018-03-15_13-01-16-9693 Start to load data table ...
2018-03-15_13-01-16-9914 [BstManager] GetCostumeDataByRace: 0
2018-03-15_13-01-17-0616 Data table loaded, start to load icons ...
2018-03-15_13-01-17-0626 Icon download succeeded: 
2018-03-15_13-01-17-0636 Icon download succeeded: 
2018-03-15_13-01-17-0636 Icon download succeeded: 
2018-03-15_13-01-17-0636 Icon download succeeded: 
2018-03-15_13-01-17-0636 Icon download succeeded: 
2018-03-15_13-01-17-0636 Icon download succeeded: 
2018-03-15_13-01-17-0636 Icon download succeeded: 
2018-03-15_13-01-17-0636 Icon download succeeded: 
2018-03-15_13-01-17-0636 Icon download succeeded: 
2018-03-15_13-01-17-0636 Icon download succeeded: 
2018-03-15_13-01-17-0636 Icon download succeeded: 
2018-03-15_13-01-17-0636 Icon download succeeded: 
2018-03-15_13-01-17-0636 Icon download succeeded: 
2018-03-15_13-01-17-0646 Icon download succeeded: 
2018-03-15_13-01-17-0646 Icon download succeeded: 
2018-03-15_13-01-17-0646 Icon download succeeded: 
2018-03-15_13-01-17-0646 Icon download succeeded: 
2018-03-15_13-01-17-0646 Icon download succeeded: 
2018-03-15_13-01-17-0646 Icon download succeeded: 
2018-03-15_13-01-17-0646 Icon download succeeded: 
2018-03-15_13-01-17-0646 Icon download succeeded: 
2018-03-15_13-01-17-0646 Icon download succeeded: 
2018-03-15_13-01-17-0646 Icon download succeeded: 
2018-03-15_13-01-17-0656 Icon download succeeded: 
2018-03-15_13-01-17-0656 Icon download succeeded: 
2018-03-15_13-01-17-0656 Icon download succeeded: 
2018-03-15_13-01-17-0656 Icon download succeeded: 
2018-03-15_13-01-17-0656 Icon download succeeded: 
2018-03-15_13-01-17-0656 Icon download succeeded: 
2018-03-15_13-01-17-0656 Icon download succeeded: 
2018-03-15_13-01-17-0656 Icon download succeeded: 
2018-03-15_13-01-17-0656 Icon download succeeded: 
2018-03-15_13-01-17-0666 Icon download succeeded: 
2018-03-15_13-01-17-0666 Icon download succeeded: 
2018-03-15_13-01-17-0666 Icon download succeeded: 
2018-03-15_13-01-17-0666 Icon download succeeded: 
2018-03-15_13-01-17-0666 Icon download succeeded: 
2018-03-15_13-01-17-0666 Icon download succeeded: 
2018-03-15_13-01-17-0666 Icon download succeeded: 
2018-03-15_13-01-17-0666 Icon download succeeded: 
2018-03-15_13-01-17-0666 Icon download succeeded: 
2018-03-15_13-01-17-0676 Icon download succeeded: 
2018-03-15_13-01-17-0676 Icon download succeeded: 
2018-03-15_13-01-17-0676 Icon download succeeded: 
2018-03-15_13-01-17-0676 Icon download succeeded: 
2018-03-15_13-01-17-0676 Icon download succeeded: 
2018-03-15_13-01-17-0676 Icon download succeeded: 
2018-03-15_13-01-17-0676 Icon download succeeded: 
2018-03-15_13-01-17-0676 Icon download succeeded: 
2018-03-15_13-01-17-0676 Icon download succeeded: 
2018-03-15_13-01-17-0676 Icon download succeeded: 
2018-03-15_13-01-17-0686 Icon download succeeded: 
2018-03-15_13-01-17-0686 Icon download succeeded: 
2018-03-15_13-01-17-0686 Icon download succeeded: 
2018-03-15_13-01-17-0686 Icon download succeeded: 
2018-03-15_13-01-17-0686 Icon download succeeded: 
2018-03-15_13-01-17-0686 Icon download succeeded: 
2018-03-15_13-01-17-0686 Icon download succeeded: 
2018-03-15_13-01-17-0696 Icon download succeeded: 
2018-03-15_13-01-17-0696 Icon download succeeded: 
2018-03-15_13-01-17-0696 Icon download succeeded: 
2018-03-15_13-01-17-0696 Icon download succeeded: 
2018-03-15_13-01-17-0696 Icon download succeeded: 
2018-03-15_13-01-17-0696 Icon download succeeded: 
2018-03-15_13-01-17-0696 Icon download succeeded: 
2018-03-15_13-01-17-0846 Icon download succeeded: 
2018-03-15_13-01-17-0856 Icon download succeeded: 
2018-03-15_13-01-17-0856 Icon download succeeded: 
2018-03-15_13-01-17-0856 Icon download succeeded: 
2018-03-15_13-01-17-0856 Icon download succeeded: 
2018-03-15_13-01-17-0856 Icon download succeeded: 
2018-03-15_13-01-17-0856 Icon download succeeded: 
2018-03-15_13-01-17-0856 Icon download succeeded: 
2018-03-15_13-01-17-0856 Icon download succeeded: 
2018-03-15_13-01-17-0856 Icon download succeeded: 
2018-03-15_13-01-17-0866 Icon download succeeded: 
2018-03-15_13-01-17-0866 Icon download succeeded: 
2018-03-15_13-01-17-0866 Icon download succeeded: 
2018-03-15_13-01-17-0866 Icon download succeeded: 
2018-03-15_13-01-17-0866 Icon download succeeded: 
2018-03-15_13-01-17-0866 Icon download succeeded: 
2018-03-15_13-01-17-0866 Icon download succeeded: 
2018-03-15_13-01-17-0866 Icon download succeeded: 
2018-03-15_13-01-17-0866 Icon download succeeded: 
2018-03-15_13-01-17-0866 Icon download succeeded: 
2018-03-15_13-01-17-0876 Icon download succeeded: 
2018-03-15_13-01-17-0876 Icon download succeeded: 
2018-03-15_13-01-17-0876 Icon download succeeded: 
2018-03-15_13-01-17-0876 Icon download succeeded: 
2018-03-15_13-01-17-0876 Icon download succeeded: 
2018-03-15_13-01-17-0876 Icon download succeeded: 
2018-03-15_13-01-17-0876 Icon download succeeded: 
2018-03-15_13-01-17-0876 Icon download succeeded: 
2018-03-15_13-01-17-0886 Icon download succeeded: 
2018-03-15_13-01-17-0886 Icon download succeeded: 
2018-03-15_13-01-17-0886 Icon download succeeded: 
2018-03-15_13-01-17-0886 Icon download succeeded: 
2018-03-15_13-01-17-0886 Icon download succeeded: 
